scene,role,obstacle_id,module,field_x_m,field_y_m,experiment_x_m,experiment_y_m,yaw_deg
single_obstacle,local_detour,O1,C560,3.000,3.000,1.500,1.500,0.0
straight_corridor_0900,local_geometry_and_sample_efficiency,L1,W600,2.740,3.490,1.240,1.990,45.0
straight_corridor_0900,local_geometry_and_sample_efficiency,L2,W600,3.160,3.910,1.660,2.410,45.0
straight_corridor_0900,local_geometry_and_sample_efficiency,L3,W600,3.590,4.340,2.090,2.840,45.0
straight_corridor_0900,local_geometry_and_sample_efficiency,L4,W600,4.010,4.760,2.510,3.260,45.0
straight_corridor_0900,local_geometry_and_sample_efficiency,R1,W600,3.490,2.740,1.990,1.240,45.0
straight_corridor_0900,local_geometry_and_sample_efficiency,R2,W600,3.910,3.160,2.410,1.660,45.0
straight_corridor_0900,local_geometry_and_sample_efficiency,R3,W600,4.340,3.590,2.840,2.090,45.0
straight_corridor_0900,local_geometry_and_sample_efficiency,R4,W600,4.760,4.010,3.260,2.510,45.0
u_trap,local_minimum_and_recovery,UL1,W600,2.720,2.900,1.220,1.400,90.0
u_trap,local_minimum_and_recovery,UL2,W600,2.720,3.500,1.220,2.000,90.0
u_trap,local_minimum_and_recovery,UR1,W600,3.880,2.900,2.380,1.400,90.0
u_trap,local_minimum_and_recovery,UR2,W600,3.880,3.500,2.380,2.000,90.0
u_trap,local_minimum_and_recovery,UB1,W600,2.850,3.800,1.350,2.300,0.0
u_trap,local_minimum_and_recovery,UB2,W600,3.450,3.800,1.950,2.300,0.0
u_trap,local_minimum_and_recovery,UB3,W300,3.900,3.800,2.400,2.300,0.0
lab_complex,mixed_static_generalization,A1,W600,2.150,2.400,0.650,0.900,15.0
lab_complex,mixed_static_generalization,A2,W300,2.580,2.520,1.080,1.020,15.0
lab_complex,mixed_static_generalization,A3,W600,3.250,3.100,1.750,1.600,0.0
lab_complex,mixed_static_generalization,A4,W300,3.700,3.100,2.200,1.600,0.0
lab_complex,mixed_static_generalization,A5,W600,2.950,4.100,1.450,2.600,90.0
lab_complex,mixed_static_generalization,C1,C320,4.150,2.450,2.650,0.950,0.0
lab_complex,mixed_static_generalization,C2,C320,4.150,3.750,2.650,2.250,0.0
lab_complex,mixed_static_generalization,C3,C240,2.050,3.650,0.550,2.150,0.0
lab_complex,mixed_static_generalization,C4,C240,4.750,3.200,3.250,1.700,0.0
dynamic_crossing,optional_reactive_dynamic_obstacle,G1,C240,2.100,3.200,0.600,1.700,0.0
dynamic_crossing,optional_reactive_dynamic_obstacle,G2,C240,4.500,3.200,3.000,1.700,0.0
