run_dir,arm,metrics_sha256,trajectory_sha256,config_sha256,provenance_sha256,plant_backend,mujoco_version,prediction_mode
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_cylinder_forest_seed91001/runs/simple_combination/simple_combination__l218_cylinder_forest__nominal_seen__seed91001,simple_combination,4c271b6e312ddfe34605be76965b6f009ec6a8d5b55fdc1ee385e9466cf7e67b,2dc7fbc39323f0727c57cc05fd68040718bf3bc8eecb510c627fabd162fbee6e,cd10b2d0fd47dde5626e512959e293ddac37f158cc3cb132bd9dbe387efefe6d,6444295c1f5356940825a95724f12ddbe5370e55ae27c488036f03045bc59fd6,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_cylinder_forest_seed91001/runs/full_proposed/full_proposed__l218_cylinder_forest__nominal_seen__seed91001,full_proposed,3f0bc1684664738dc71160fd1bdb0fbf1ba66a76badc87d58dae7d54343d36a3,c85a682d19e2bd2fa96ddd2a537063ef1eba74be77ea10ae9795e6af207bc0b6,b67a4f519ac8dbc46809cf4e927abf4316b293f671f9e71c0f44837af5f3b9a6,e722ddd7ddf57523947a1107b504908b2d7cd819d822c2f86bf5ac021ab6dc7c,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_cylinder_spiral_seed91001/runs/simple_combination/simple_combination__l218_cylinder_spiral__nominal_seen__seed91001,simple_combination,0b883cfadeb123f56dfe9da97cecd9514cbf5eb7ca51a2bc9be528d668aa0767,46a37d57fe9b165341f62700c29d147754343d58b1be6c4aa504761fa5381a3f,7700cc031342c7763197cde673f1fc5cb3b0e1e4fc402dc433bdef69b989276d,1c26521d09943a024d0c9a620e3e638b91df1ccf7b6eb98ead5b472eb907ea74,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_cylinder_spiral_seed91001/runs/full_proposed/full_proposed__l218_cylinder_spiral__nominal_seen__seed91001,full_proposed,75791f5d8624b8f688296b5498cf5fab0d2962b7c2c2166880b762671bc84b8e,c6eaea99678104d163e289e2daa831b7de721423e8c7ce769df78f08dbd54187,d620048c614152062359e3a7442b7f3a4fae1378f9d9fc002851af113ed1dbb3,a8f4aa4aabdce188dd98f8e8a464f83ac27ce3b577b309aa9d3fd47fb4eff47d,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_giant_u_seed91001/runs/simple_combination/simple_combination__l218_giant_u__nominal_seen__seed91001,simple_combination,1ad4032e951d85f13f9cd87709352612f7e9aaa0646c2e0628b0c32105dd5dae,d17eecef8a2a7f8d7887a403dff525bd89a459875ab3cd8814c6ab828f7b3e0e,cfd8699d014abc09bd09dc2f1309fa5375aa0029f14e256473a01a6587b4e373,1d1f5e27030b06f39acafcbf271ae3e4c7ecc838f042017e70a56aae850ac52e,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_giant_u_seed91001/runs/full_proposed/full_proposed__l218_giant_u__nominal_seen__seed91001,full_proposed,f63671567e698a2011e90dd7222d39121a8360184846b8531ae641cbc8eb8739,991937cd1bccaa949e4901c49ee545b63808b1faa2e05f3383c992dfd5ed0564,347b037e186d79e5617a76bb6bcb1731e49a3bc5c771ab369596fe95720bd4eb,4cdf11c58d4df8872013f87d670f3f38043ef10046951266eff44a5a49bfd5f0,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_nested_u_seed91001/runs/simple_combination/simple_combination__l218_nested_u__nominal_seen__seed91001,simple_combination,4b66b8469ce1f9f5b9756bc24e5b223c66dbe7aa52c413576e2461860b59bafb,e1f33d0121b4ab6682208edf61327832454eb805f43d727052cacef1479a9f63,f36976a15e40ded35a84fbaa5c6d292327b17af881ca9ff154093e2192bf2872,6389b4d49ee965a2435b196a8d7dcad8a27487ab2401b5aedc335e9198b64875,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_nested_u_seed91001/runs/full_proposed/full_proposed__l218_nested_u__nominal_seen__seed91001,full_proposed,2603347d80ae682bce1581c94134110c8aecd8f8344ad0bdd05dadb8c26e06b9,9dc569bdc647b27b149f4bd21ab3d14d4d96cbeb15b0173ecb46ed3f90aba73e,956f2a77af3521b61d1b721a67bff998d3c17dc423848d5ed799517ca5ab0b39,63ab2eca68aa3d22d7d9e3bc5024a1226b417a43a2f137d7d3bcf377ad6db8d1,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_opposed_u_seed91001/runs/simple_combination/simple_combination__l218_opposed_u__nominal_seen__seed91001,simple_combination,d4219f021445138830c05e96cf2ea35cfbd208fbd021a22de263274934233db2,f06c1b6980ec237e743f78df7f44655d9942c70ae4381862b2a453b4130776fd,d17b2f86c0f6dfd0815b9af228853d90ef6ab1847edd327ec33926be40130710,fe32f5cbbaa2e141f6f1dc814ad5f8caa1d8176f33f479ec0c6820d6d062b0be,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_opposed_u_seed91001/runs/full_proposed/full_proposed__l218_opposed_u__nominal_seen__seed91001,full_proposed,9034aa2d8470b10143702a88effdf0e20a50b32a1e903fe6950ae2911cd930c1,1b975bb8e303a1b173cb53f123c694ad49297f6fd6d30150539bde11dfb13a8c,fa2c35a0dadd29aa502f31a9c32fb26db5c00f94aec76540334511a52291ac64,055db3d2de777267b987132b3f694546006af9b04b6cc6e3ace34441697e56fc,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_serpentine_seed91001/runs/simple_combination/simple_combination__l218_serpentine__nominal_seen__seed91001,simple_combination,3c0cd99d97de8c58f38a22fd1a557084346b815a11b3a3333a6285bb5facacf2,c3a40946c96aba553309ffa6a202ed24953f8f7b377e01e3753f1731708dc875,c73221eb59690c2181422afaad663b396fd94247833771b9b1059ffacb67339e,034a5fe075fd633903536c3753185f4f9502bcf0e8502c8acfdc1558c16baaa9,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91001_serpentine_seed91001/runs/full_proposed/full_proposed__l218_serpentine__nominal_seen__seed91001,full_proposed,9e71ece7ec8006da65098165a0b751501646dd3444104fe57c29b1669b732745,eba129f8141020c61b1ac6f22dfd896bd981e86c008862bf38ff48a18bdb8e75,97353e674dfecfa17ab0fff997e9ed2064d7457b89deaa757a18f48c11fa0ad5,214c7dd58bd38b1020a130db56d4954e84b50903ae688084d97d42ee36d998b8,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91002_cylinder_forest_seed91002/runs/simple_combination/simple_combination__l218_cylinder_forest__nominal_seen__seed91002,simple_combination,ebe0bbb5ce14d9eda4f2a53871efd8733d10b5a97c0c7dae871a0a2157eb8ded,24015e028a6aee2336b0952dc604e0184eb05ccbf814251b6407bb57a607bb92,82fb649d175914991a94b27800879d78d3133db49acc7e36403a35ae81740007,ddb632c151f226d1593cc6f4986bf7a5ea018ade6681582f020161f88e9fc1b4,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91002_cylinder_forest_seed91002/runs/full_proposed/full_proposed__l218_cylinder_forest__nominal_seen__seed91002,full_proposed,5d4e0162ea3012a1178748b814550f85de7e912213e0092b06ec1180da1372ae,bf952b91dd334863a4f2f8e6d29eed2a95b2a3c0242d1d7457434914e4a83557,fe2dffa17aff739b9f5078dcc5a90ddaced389fce5e55c437e98db89a02bfdaa,15dc4cb250fa42e3839f3af3ac61473329c65d04a59f0a5154da6ccdca76ae7d,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91002_cylinder_spiral_seed91002/runs/simple_combination/simple_combination__l218_cylinder_spiral__nominal_seen__seed91002,simple_combination,d7811ff8f62fdec53140d06351c576ccda8e1831048f80e0d4688dd0e64c7a53,6b4a66704cb73a27b6af644a1368f5b862d4b4c11fbfbbc76a8fa1dc633dda20,f49cb8d6e08c7ee27df3cf0890e285ea968c14b34f8887940aef1234bb247a7c,578d9c9f5395ce3fb0a2921d488c2053e34c757616796b0d356a6c1db2624428,mujoco_diff_drive,3.2.3,icode_residual
