scene,artifact,bytes,sha256,path
l218_serpentine,config_resolved.yaml,6785,c3b34b1ab84736dcb2307d85e496d2bbad3e15c7280b384526048d4883910c8e,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_serpentine_seed91001/runs/full_proposed/full_proposed__l218_serpentine__nominal_seen__seed91001/config_resolved.yaml
l218_serpentine,trajectory.csv,1987932,1518073a14e17230b65f555621dfacf3e22a12f14ea7a7e560753565b8f0fcb7,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_serpentine_seed91001/runs/full_proposed/full_proposed__l218_serpentine__nominal_seen__seed91001/trajectory.csv
l218_serpentine,metrics.json,10922,9ffb80c2fbc8bcabeb18b066e14d98ab2cdf8fa1ba7c6b4bf2187b321b4cb335,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_serpentine_seed91001/runs/full_proposed/full_proposed__l218_serpentine__nominal_seen__seed91001/metrics.json
l218_serpentine,provenance.json,144,bcf0350081bab7fe3d3b363a2ff44da93bcc99918f0e5e55a4842a98944744b6,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_serpentine_seed91001/runs/full_proposed/full_proposed__l218_serpentine__nominal_seen__seed91001/provenance.json
l218_nested_u,config_resolved.yaml,6751,5cdf7a69c5134e76b249adfd4052d45f085b55f21018e67be0a637169caec9ee,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_nested_u_seed91001/runs/full_proposed/full_proposed__l218_nested_u__nominal_seen__seed91001/config_resolved.yaml
l218_nested_u,trajectory.csv,1970417,072044a6b0354b25ecf94da33780990e106986600b152c196bd892bfb2413a32,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_nested_u_seed91001/runs/full_proposed/full_proposed__l218_nested_u__nominal_seen__seed91001/trajectory.csv
l218_nested_u,metrics.json,10948,3e3efbcf1b98459833fc63f57cda8de8ff58fd8414cdffeced4155cbbbc0a1f0,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_nested_u_seed91001/runs/full_proposed/full_proposed__l218_nested_u__nominal_seen__seed91001/metrics.json
l218_nested_u,provenance.json,144,cd84f2f0e9e0384b905b83ea67916741e5510ae264e45682209d41b0618daf8e,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_nested_u_seed91001/runs/full_proposed/full_proposed__l218_nested_u__nominal_seen__seed91001/provenance.json
l218_cylinder_spiral,config_resolved.yaml,8157,4836211c600bde86c2f97c78dd4cae45252a17321a948196de43e2b09a9a12bc,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_cylinder_spiral_seed91001/runs/full_proposed/full_proposed__l218_cylinder_spiral__nominal_seen__seed91001/config_resolved.yaml
l218_cylinder_spiral,trajectory.csv,1981058,5ad31b45fc86c24f0c15a44a89a6c9d6e7b2cd1bc32a0bf433a7b93cb0330396,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_cylinder_spiral_seed91001/runs/full_proposed/full_proposed__l218_cylinder_spiral__nominal_seen__seed91001/trajectory.csv
l218_cylinder_spiral,metrics.json,10865,bb6e3dd18a13b6b6db448b250453011131aefd730c3f736534e71f01e91ffd8d,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_cylinder_spiral_seed91001/runs/full_proposed/full_proposed__l218_cylinder_spiral__nominal_seen__seed91001/metrics.json
l218_cylinder_spiral,provenance.json,144,8cd16d4079c9918873338d7904076caeb6981873cce3a16ddbe413b2d6c74f86,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_cylinder_spiral_seed91001/runs/full_proposed/full_proposed__l218_cylinder_spiral__nominal_seen__seed91001/provenance.json
