scene,arm,successes_out_of_3,collisions_out_of_3,completion_mean,proposal_authority_mean,actor_support_mean
l218_serpentine,icode_mppi,0,0,0.24748815263042348,1.0,1.0
l218_serpentine,simple_combination,0,0,0.17784415861200323,1.0,1.0
l218_serpentine,full_proposed,0,0,0.2552651828493228,0.07496064592872721,0.14937556904775126
l218_serpentine,old_full_proposed,0,0,0.2542837460214593,0.0,0.0
l218_giant_u,icode_mppi,3,0,0.9681331727563283,1.0,1.0
l218_giant_u,simple_combination,0,0,0.4024504203698203,1.0,1.0
l218_giant_u,full_proposed,3,0,0.9687357408307554,0.070509866125456,0.6209035399294086
l218_giant_u,old_full_proposed,3,0,0.9689063327054185,0.0,0.0
l218_opposed_u,icode_mppi,3,0,0.968479139382202,1.0,1.0
l218_opposed_u,simple_combination,0,0,0.13006692005593298,1.0,1.0
l218_opposed_u,full_proposed,3,0,0.9686862554671034,0.043700774090785856,0.2712780584234528
l218_opposed_u,old_full_proposed,3,0,0.9682247199935459,0.0,0.0
l218_nested_u,icode_mppi,0,0,0.4012552469419126,1.0,1.0
l218_nested_u,simple_combination,0,0,0.1675763419335096,1.0,1.0
l218_nested_u,full_proposed,0,0,0.38448130568636935,0.0,0.0
l218_nested_u,old_full_proposed,0,0,0.3784115347499253,0.0,0.0
l218_cylinder_forest,icode_mppi,3,0,0.9634564003888988,1.0,1.0
l218_cylinder_forest,simple_combination,0,0,0.13480184291602285,1.0,1.0
l218_cylinder_forest,full_proposed,3,0,0.9636703047079781,0.022669251052262602,0.14970095467067726
l218_cylinder_forest,old_full_proposed,3,0,0.9646089124132936,0.0,0.0
l218_cylinder_spiral,icode_mppi,0,0,0.6301883844943955,1.0,1.0
l218_cylinder_spiral,simple_combination,0,0,0.08029216159426836,1.0,1.0
l218_cylinder_spiral,full_proposed,0,0,0.5902005567132297,0.0,0.0
l218_cylinder_spiral,old_full_proposed,0,0,0.6117093253628793,0.0,0.0
