scene,seed,arm,success,collision,steps,path_completion_ratio,safety_interventions,last_200_displacement_m,last_200_abs_proposed_v_mean,last_200_abs_applied_v_mean,last_200_abs_applied_omega_mean,last_200_front_slow_fraction,last_200_front_soft_block_fraction,last_200_near_body_hard_stop_fraction,final_x,final_y,final_clearance,final_target_x,final_target_y,counterfactual_authority_mean,proposal_authority_mean,run_dir
l218_cylinder_spiral,91001,icode_mppi,0,0,900,0.6328023719957413,662,0.04613407313803337,0.0584275086835906,0.002331758241214923,0.26135225564806397,0.045,0.0,0.955,1.9032224092340038,3.91068470823473,0.14269412915982496,2.1039429798043807,4.251577191921752,1.0,1.0,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l221_gate_s91001_cylinder_spiral_seed91001/runs/icode_mppi/icode_mppi__l218_cylinder_spiral__nominal_seen__seed91001
l218_cylinder_spiral,91001,full_proposed,0,0,900,0.6389455999317645,639,0.0003418577207360951,0.05705678001602935,0.0,0.18564731897127132,0.0,0.0,1.0,1.91380931655012,3.9466853056494706,0.13831777464870135,2.1393565412461233,4.265742616498449,0.0033333333333333335,0.0,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l221_gate_s91001_cylinder_spiral_seed91001/runs/full_proposed/full_proposed__l218_cylinder_spiral__nominal_seen__seed91001
l218_nested_u,91001,icode_mppi,0,0,900,0.40587259562366595,750,0.43450850390181117,0.053082505425405664,0.022054083793262888,0.2575623379882338,1.0,0.0,0.0,1.4795340250070685,2.837870300438169,0.23953402500706855,1.55,3.2343177032362105,1.0,1.0,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l221_gate_s91001_nested_u_seed91001/runs/icode_mppi/icode_mppi__l218_nested_u__nominal_seen__seed91001
l218_nested_u,91001,full_proposed,0,0,900,0.393236652331909,768,0.3999964432898763,0.048957713060705885,0.020380256226187537,0.2620360047888016,1.0,0.0,0.0,1.4685028170731398,2.736135549543647,0.2285028170731398,1.55,3.1350351193555293,0.0,0.0,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l221_gate_s91001_nested_u_seed91001/runs/full_proposed/full_proposed__l218_nested_u__nominal_seen__seed91001
l218_serpentine,91001,icode_mppi,0,0,900,0.24057334435429617,672,0.6546219312205539,0.05951080368012117,0.0336712609102017,0.2742811841569592,1.0,0.0,0.0,4.728225259890289,1.8054175668356083,0.27541756683560836,4.275501652841956,1.7798949188902013,1.0,1.0,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l221_gate_s91001_serpentine_seed91001/runs/icode_mppi/icode_mppi__l218_serpentine__nominal_seen__seed91001
l218_serpentine,91001,full_proposed,0,0,900,0.24637116840176043,641,0.5732456927822142,0.047316272092538504,0.02904542530163189,0.28088416792610543,1.0,0.0,0.0,4.581569033151878,1.8385719044853972,0.3085719044853973,4.125379098852224,1.7928684729386966,0.39188306867842976,0.06637716298607162,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l221_gate_s91001_serpentine_seed91001/runs/full_proposed/full_proposed__l218_serpentine__nominal_seen__seed91001
l218_cylinder_spiral,91002,icode_mppi,0,0,900,0.6309331434159704,613,0.01649609358822198,0.057110790449174054,0.0008097888655531296,0.2601178232915797,0.025,0.0,0.975,1.9029813476619246,3.8989750614242857,0.14148541845920817,2.0959897533800107,4.244653004506681,1.0,1.0,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l221_gate_s91002_cylinder_spiral_seed91002/runs/icode_mppi/icode_mppi__l218_cylinder_spiral__nominal_seen__seed91002
l218_cylinder_spiral,91002,full_proposed,0,0,900,0.6296646794141113,639,0.033225610042480654,0.05769241305479882,0.0016095234654031187,0.23480028763906077,0.06,0.0,0.94,1.8980046153734509,3.8923322422614315,0.1457268118498424,2.0915206674477425,4.238694223263656,0.00763644905229871,0.0,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l221_gate_s91002_cylinder_spiral_seed91002/runs/full_proposed/full_proposed__l218_cylinder_spiral__nominal_seen__seed91002
l218_nested_u,91002,icode_mppi,0,0,900,0.39740323213147694,743,0.4094668055950947,0.05002557351573745,0.020990909844775144,0.2434305301648717,0.965,0.035,0.0,1.4602905680218428,2.7696815973695905,0.22029056802184277,1.55,3.168589990808367,1.0,1.0,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l221_gate_s91002_nested_u_seed91002/runs/icode_mppi/icode_mppi__l218_nested_u__nominal_seen__seed91002
l218_nested_u,91002,full_proposed,0,0,900,0.38886322606630447,758,0.43215029569562463,0.04859795413615422,0.02189569767801558,0.19605639695208787,0.995,0.005,0.0,1.4595815367093496,2.7009241354518245,0.21958153670934966,1.55,3.096451039681175,0.0,0.0,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l221_gate_s91002_nested_u_seed91002/runs/full_proposed/full_proposed__l218_nested_u__nominal_seen__seed91002
