scene,start_step,stop_step,start_progress_m,stop_progress_m,progress_delta_m,progress_rate_mps,proposed_v_mean,applied_v_mean,abs_applied_omega_mean,front_slow_fraction,front_soft_block_fraction,near_body_hard_stop_fraction
l218_cylinder_forest,0,200,0.00136876524626961,6.931016660555096,6.929647895308826,0.3464823947654413,0.42424567597529433,0.4197180133831147,0.3369135441645062,0.17,0.0,0.0
l218_cylinder_forest,200,289,6.971221580063617,7.619791521413022,0.6485699413494057,0.07287302711791076,0.0786100161347025,0.08019658246957513,0.11757739484572396,0.0,0.0,0.0
l218_giant_u,0,200,0.0012843756211367888,6.3945630689500135,6.3932786933288765,0.3196639346664438,0.4140527180870076,0.4109896470769611,0.4150882940952145,0.09,0.0,0.0
l218_giant_u,200,356,6.418984973452096,8.895778332274489,2.476793358822393,0.15876880505271748,0.18866853404819242,0.188017219119521,0.2661305878172403,0.05128205128205128,0.0,0.0
l218_opposed_u,0,200,0.0012991944449680924,5.935625908488072,5.934326714043104,0.2967163357021552,0.391686897666509,0.3847003702812162,0.49145508079621797,0.18,0.0,0.0
l218_opposed_u,200,400,5.955951506159256,8.933994493732172,2.978042987572916,0.14890214937864582,0.19649834946556127,0.19688092355015333,0.2712051927074079,0.085,0.0,0.0
l218_opposed_u,400,452,8.934126568939353,9.035117725949142,0.10099115700978878,0.019421376348036302,0.022762286541773997,0.019927483077722217,0.0011733337750043742,1.0,0.0,0.0
l222_cylinder_spiral_safe,0,200,0.0011349759991385877,3.989424125321071,3.9882891493219326,0.19941445746609662,0.21112070030629027,0.20100492800549577,0.4235858558806065,0.435,0.0,0.0
l222_cylinder_spiral_safe,200,368,3.9925455766308113,7.247363193807091,3.25481761717628,0.19373914387954047,0.18673127726196811,0.18147259526082515,0.33622313822287414,0.2916666666666667,0.0,0.0
l222_nested_u_safe,0,200,0.0012421053814274483,2.47921876569146,2.4779766603100324,0.12389883301550161,0.145933435965193,0.12696717303560567,0.30543674049578223,0.73,0.0,0.0
l222_nested_u_safe,200,400,2.4859091109417975,4.545347253234508,2.05943814229271,0.10297190711463551,0.12320308103299756,0.10937398337913465,0.22982689662368486,0.755,0.0,0.0
l222_nested_u_safe,400,600,4.552795040022488,8.868519768952313,4.315724728929824,0.21578623644649123,0.22729593133789203,0.22385591942815927,0.38061581042525644,0.24,0.0,0.0
l222_nested_u_safe,600,632,8.873146842937622,9.117741414159404,0.24459457122178208,0.0764358035068069,0.08027491434728776,0.07973419076777497,0.043133592327033815,0.0,0.0,0.0
l222_serpentine_safe,0,200,0.0011529338675883016,5.807225738731988,5.8060728048644,0.29030364024322003,0.39332818572443345,0.38821132126025576,0.4231010975985648,0.2,0.0,0.0
l222_serpentine_safe,200,400,5.819395166244354,10.683470750263456,4.864075584019102,0.2432037792009551,0.28578018455016546,0.28075069050791923,0.2674076601492026,0.37,0.0,0.0
l222_serpentine_safe,400,600,10.697002462092904,12.56775272983393,1.8707502677410268,0.09353751338705134,0.12061705917659857,0.10735671084602512,0.29046750099764934,0.76,0.0,0.0
l222_serpentine_safe,600,800,12.597242737386754,16.95001897817111,4.352776240784355,0.21763881203921773,0.26271944370740447,0.2547977585906336,0.34140471500436786,0.445,0.0,0.0
l222_serpentine_safe,800,1000,16.960369239666832,20.077710341823906,3.1173411021570736,0.15586705510785367,0.177465311245762,0.16831726544512865,0.24272604949871762,0.62,0.0,0.0
l222_serpentine_safe,1000,1200,20.078774725670677,26.628088250193223,6.549313524522546,0.3274656762261273,0.40312150678584,0.40152383460327684,0.42639061327971434,0.105,0.0,0.0
l222_serpentine_safe,1200,1297,26.631571102736267,27.169454832993136,0.5378837302568691,0.05545193095431639,0.0578915002558163,0.05785439813690717,0.09479022117542735,0.0,0.0,0.0
