split,episode_id,seed,scene,physics_domain,physics_domain_role,steps,success,collision,safety_overrides
train,train_000_00,22848000,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,seen,111,1,0,0
train,train_001_00,22849009,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,seen,108,1,0,0
train,train_002_00,22850018,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,seen,127,1,0,0
train,train_003_00,22851027,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,seen,113,1,0,0
train,train_004_00,22852036,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,seen,145,1,0,0
train,train_005_00,22853045,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,seen,137,1,0,0
train,train_006_00,22854054,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,seen,150,1,0,0
train,train_007_00,22855063,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,seen,138,1,0,0
validation,validation_000_00,22849000,high_dynamic_sweep_l56__nominal_seen,nominal_seen,seen,109,1,0,0
validation,validation_001_00,22850009,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,seen,107,1,0,0
validation,validation_002_00,22851018,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,seen,117,1,0,0
validation,validation_003_00,22852027,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,seen,113,1,0,0
test,test_000_00,22850000,high_dynamic_chicane_l56__nominal_seen,nominal_seen,seen,126,1,0,0
test,test_001_00,22851009,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,seen,125,1,0,0
test,test_002_00,22852018,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,seen,136,1,0,0
test,test_003_00,22853027,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,seen,125,1,0,0
unseen,unseen_000_00,22851000,high_dynamic_reverse_s_unseen_l56__combined_unseen,combined_unseen,unseen,112,1,0,0
unseen,unseen_001_00,22852009,high_dynamic_hairpin_unseen_l56__combined_unseen,combined_unseen,unseen,180,0,0,0
