split,episode_id,seed,scene,physics_domain,physics_domain_role,steps,success,collision,safety_overrides
train,train_000_00,22852000,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,seen,111,1,0,0
train,train_001_00,22853009,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,seen,109,1,0,0
train,train_002_00,22854018,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,seen,129,1,0,0
train,train_003_00,22855027,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,seen,113,1,0,0
train,train_004_00,22856036,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,seen,141,1,0,0
train,train_005_00,22857045,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,seen,138,1,0,0
train,train_006_00,22858054,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,seen,151,1,0,0
train,train_007_00,22859063,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,seen,141,1,0,0
train,train_008_00,22860072,high_dynamic_sweep_l56__nominal_seen,nominal_seen,seen,108,1,0,0
train,train_009_00,22861081,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,seen,107,1,0,0
train,train_010_00,22862090,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,seen,118,1,0,0
train,train_011_00,22863099,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,seen,109,1,0,0
train,train_012_00,22864108,high_dynamic_chicane_l56__nominal_seen,nominal_seen,seen,126,1,0,0
train,train_013_00,22865117,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,seen,125,1,0,0
train,train_014_00,22866126,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,seen,134,1,0,0
train,train_015_00,22867135,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,seen,129,1,0,0
validation,validation_000_00,22853000,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,seen,110,1,0,0
validation,validation_001_00,22854009,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,seen,109,1,0,0
validation,validation_002_00,22855018,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,seen,122,1,0,0
validation,validation_003_00,22856027,high_dynamic_reverse_s_unseen_l56__long_delay_seen,long_delay_seen,seen,110,1,0,0
test,test_000_00,22854000,high_dynamic_hairpin_unseen_l56__nominal_seen,nominal_seen,seen,180,0,0,0
test,test_001_00,22855009,high_dynamic_hairpin_unseen_l56__high_mass_seen,high_mass_seen,seen,180,0,0,0
test,test_002_00,22856018,high_dynamic_hairpin_unseen_l56__low_friction_seen,low_friction_seen,seen,180,0,0,0
test,test_003_00,22857027,high_dynamic_hairpin_unseen_l56__long_delay_seen,long_delay_seen,seen,180,0,0,0
unseen,unseen_000_00,22855000,high_dynamic_reverse_s_unseen_l56__combined_unseen,combined_unseen,unseen,114,1,0,0
unseen,unseen_001_00,22856009,high_dynamic_hairpin_unseen_l56__combined_unseen,combined_unseen,unseen,180,0,0,0
