benchmark_arm,scene,physics_domain,episodes,independent_seeds,success_mean,collision_mean,steps_mean,final_goal_distance_mean,trajectory_length_mean,minimum_clearance_mean,stuck_steps_mean,spin_steps_mean,mean_abs_omega_mean,control_jerk_mean,planner_compute_ms_mean_mean,planner_compute_ms_p95_mean,planner_compute_ms_max_mean,paper_total_rollouts_mean_mean
traditional_mppi,lab_complex,combined_unseen,10,10,0.0,0.0,600.0,3.4464175866452584,0.8968704123461458,0.16062652462209567,458.3,28.8,0.2519100656141315,0.1675981304064314,5.206767559609338,6.898410442809109,23.218270094366744,0.0
traditional_mppi,lab_complex,nominal_seen,10,10,0.0,0.0,600.0,3.602343078134851,0.7172020324234364,0.1718128306159415,469.1,20.6,0.2561699260381016,0.1718805525284522,5.671706095769574,8.073411770310486,19.95477549789939,0.0
traditional_mppi,narrow_corridor,combined_unseen,10,10,0.0,0.0,600.0,3.5623144618581173,0.8200625335547229,0.16477412633894734,514.1,25.0,0.2534728184497625,0.169183320955441,4.425230303075901,6.593822726572396,17.661844694521278,0.0
traditional_mppi,narrow_corridor,nominal_seen,10,10,0.0,0.0,600.0,3.5579967362869893,0.8192812693357286,0.1682778847565481,511.1,13.8,0.234681271265501,0.1660300039910601,4.454406742928161,6.786471896484725,17.28997539903503,0.0
traditional_mppi,u_trap_long_board,combined_unseen,10,10,0.0,0.0,600.0,3.0787843456894306,1.4055392966614215,0.14566049940252432,470.8,48.6,0.288876231482077,0.1733327750150411,4.507657106490418,6.540594404941655,19.21706149878446,0.0
traditional_mppi,u_trap_long_board,nominal_seen,10,10,0.0,0.0,600.0,3.1458270620149538,1.3139032331774843,0.14415852283972394,465.3,39.2,0.2925702979029804,0.17296973873836574,4.465354923736109,6.54780140437651,16.67152579757385,0.0
icode_mppi,lab_complex,combined_unseen,10,10,0.0,0.0,600.0,3.452288360139866,0.8903193456874263,0.16355785498807798,468.9,20.1,0.22622699276532346,0.16236141286655137,100.37249211155964,122.3792730893183,275.97376969933975,0.0
icode_mppi,lab_complex,nominal_seen,10,10,0.0,0.0,600.0,3.464992300338783,0.884193701666352,0.16532951710258106,469.0,12.3,0.22008789897790243,0.16317118282581522,117.37038813401402,153.4850287035806,206.44291610224172,0.0
icode_mppi,narrow_corridor,combined_unseen,10,10,0.0,0.0,600.0,3.507318395688853,0.888142718439466,0.1752969078572762,509.6,7.3,0.17535947179778866,0.1421577432203858,93.74561105332397,120.37978210093567,220.16076649306342,0.0
icode_mppi,narrow_corridor,nominal_seen,10,10,0.0,0.0,600.0,3.5516481991658764,0.8260015244340776,0.17390263213272142,509.0,4.2,0.19288703147618613,0.1637015145500262,89.68201961879095,108.81123493978518,166.50903410627507,0.0
icode_mppi,u_trap_long_board,combined_unseen,10,10,0.0,0.0,600.0,3.230339525341518,1.1967056424809723,0.1548413163934585,472.2,28.5,0.25105479802361186,0.17253381414630406,92.73200253239096,113.94714427937288,166.22490000154357,0.0
icode_mppi,u_trap_long_board,nominal_seen,10,10,0.0,0.0,600.0,3.1319745379084467,1.3212219365082298,0.146169971607194,457.2,19.6,0.2314458609108731,0.17216529751878568,92.30557583245778,114.52031253837049,196.2301044986816,0.0
