seed,control_outcome,treatment_outcome,control_final_goal_distance,treatment_final_goal_distance,control_minimum_overall_clearance,treatment_minimum_overall_clearance,control_steps,treatment_steps,control_planner_compute_ms_p95,treatment_planner_compute_ms_p95
791101201,collision,collision,6.586868549731204,6.611739614780777,-0.0012866185824327858,-0.016467171151709814,403,893,974.9711999902502,909.7202199860476
791101202,collision,collision,5.2272954018502915,5.312048635143679,-0.009983312980874404,-0.0007093289455004093,591,89,359.0403999987757,357.7419800043571
791101203,collision,collision,5.99526070164694,6.102055529832813,-0.014674411721090297,-0.005091168153597891,656,73,362.0844499891973,349.1786400030832
791101204,collision,timeout,6.0548385402052665,2.316285240855636,-0.019834586040051894,0.13557200865505825,86,1200,378.19547501567286,339.7189150113263
791101205,timeout,timeout,4.667563029700966,2.411088328663434,0.15561774812582557,0.11232343876963835,1200,1200,339.80910499667516,831.6897300130222
791101206,timeout,collision,4.03871691416952,5.2559645968243185,0.0967687015454109,-0.00023362956128739065,1200,90,330.6482649946701,908.6061300171423
791101207,collision,collision,5.479711242100983,5.272996616366289,-0.024833609823453062,-0.006733203120050241,437,87,933.8477000186685,347.6770000066608
791101208,collision,timeout,6.026906219023301,2.315015021012243,-0.005326655103049527,0.11604998803438438,195,1200,926.5363300073659,859.281129995361
791101209,collision,timeout,5.290192868379035,2.367392531879639,-0.0038673030630336225,0.12260403073456705,209,1200,1114.7611800115556,807.0849799783899
791101210,timeout,timeout,2.7622976072013983,2.4029309078619985,0.002574682994166133,0.10054054681155883,1200,1200,794.2352399986702,335.60491000534967
791101211,collision,timeout,5.375431656762467,2.423379494854082,-0.007776857306961871,0.09405827528497723,203,1200,353.2863100001123,334.54308501823107
791101212,collision,collision,5.4075945942280965,5.468119934566345,-0.02792840684707587,-0.0019684395338928073,449,201,346.9746400020085,362.5603999826126
