experiment,stage,variant,seed,episodes,successes,success_rate,collision_rate,cross_track_rmse,control_jerk,path_completion_ratio,source
l175_point_goal_actor_v2,direct_actor_development,best,,50,0,0.0,0.0,4.384673109018734,3.1836840393795955,1.0,results/research_platform/rl/path_conditioned_l185_dev/l175_point_goal_actor_v2
l175_point_goal_actor_v3,direct_actor_development,best,,50,0,0.0,0.0,4.384673109018734,3.1836840393795955,0.5275526783947891,results/research_platform/rl/path_conditioned_l185_dev/l175_point_goal_actor_v3
seed20261901_selected_50k,direct_actor_development,step_000050000,,50,50,1.0,0.0,0.1057096033085613,2.8971015720557296,0.9668339923238559,results/research_platform/rl/path_conditioned_l185_dev/seed20261901_selected_50k
seed20261902_selected_40k,direct_actor_development,step_000040000,,50,50,1.0,0.0,0.09949198656743467,2.887229874515217,0.9644765153058131,results/research_platform/rl/path_conditioned_l185_dev/seed20261902_selected_40k
seed20261903_selected_20k,direct_actor_development,step_000020000,,50,50,1.0,0.0,0.11084015505822661,2.4858348512462136,0.9623637626489052,results/research_platform/rl/path_conditioned_l185_dev/seed20261903_selected_20k
path_conditioned_l185_seed20261901_60k_v2,sac_checkpoint_selection,step_000050000,,20,20,1.0,0.0,0.10665972742154137,,0.9661892476630751,results/research_platform/rl/path_conditioned_l185_seed20261901_60k_v2
path_conditioned_l185_seed20261902_60k,sac_checkpoint_selection,step_000040000,,20,20,1.0,0.0,0.09978304151388524,,0.9643973428688147,results/research_platform/rl/path_conditioned_l185_seed20261902_60k
path_conditioned_l185_seed20261903_60k,sac_checkpoint_selection,step_000020000,,20,20,1.0,0.0,0.11286565999550482,,0.9624712126127333,results/research_platform/rl/path_conditioned_l185_seed20261903_60k
path_conditioned_l185_mppi_dev_screen_reverse_s_nominal,integrated_mppi_development,full_proposed,551,1,0,0.0,0.0,0.04605073146408666,0.2044969016344755,0.9474850142421967,results/research_platform/rl/path_conditioned_l185_mppi_dev_screen_reverse_s_nominal/progress.csv
path_conditioned_l185_mppi_dev_screen_reverse_s_nominal,integrated_mppi_development,ordinary_fixed,551,1,0,0.0,0.0,0.054207428242529304,0.19800234795275784,0.9455011406537007,results/research_platform/rl/path_conditioned_l185_mppi_dev_screen_reverse_s_nominal/progress.csv
path_conditioned_l185_mppi_dev_screen_reverse_s_nominal,integrated_mppi_development,value_fixed,551,1,0,0.0,0.0,0.05508712731375513,0.21099062566910953,0.9526422129351301,results/research_platform/rl/path_conditioned_l185_mppi_dev_screen_reverse_s_nominal/progress.csv
path_conditioned_l185_mppi_dev_screen_reverse_s_nominal,integrated_mppi_development,ordinary_adaptive,551,1,1,1.0,0.0,0.04794154579887254,0.2063082613545089,0.9578950722297888,results/research_platform/rl/path_conditioned_l185_mppi_dev_screen_reverse_s_nominal/progress.csv
path_conditioned_l185_mppi_dev_screen_reverse_s_nominal,integrated_mppi_development,ordinary_adaptive,552,1,0,0.0,0.0,0.05313131562324781,0.20266498839878822,0.9399446725579955,results/research_platform/rl/path_conditioned_l185_mppi_dev_screen_reverse_s_nominal/progress.csv
path_conditioned_l185_mppi_dev_screen_reverse_s_nominal,integrated_mppi_development,ordinary_fixed,552,1,0,0.0,0.0,0.05050338835783277,0.20106377444749324,0.9461045605314488,results/research_platform/rl/path_conditioned_l185_mppi_dev_screen_reverse_s_nominal/progress.csv
path_conditioned_l185_mppi_dev_screen_reverse_s_nominal,integrated_mppi_development,value_fixed,552,1,0,0.0,0.0,0.05432339987657453,0.20444667393750973,0.9526258499823214,results/research_platform/rl/path_conditioned_l185_mppi_dev_screen_reverse_s_nominal/progress.csv
path_conditioned_l185_mppi_dev_screen_reverse_s_nominal,integrated_mppi_development,full_proposed,552,1,0,0.0,0.0,0.05115474736875693,0.19968846336757415,0.9436766193401515,results/research_platform/rl/path_conditioned_l185_mppi_dev_screen_reverse_s_nominal/progress.csv
path_conditioned_l187_terminal_diagnostic_t0_seed553,integrated_mppi_development,ordinary_fixed,553,1,0,0.0,0.0,0.04873834537602136,0.19989197739658504,0.9577305928201906,results/research_platform/rl/path_conditioned_l187_terminal_diagnostic_t0_seed553/progress.csv
path_conditioned_l187_terminal_diagnostic_t0_seed553,integrated_mppi_development,ordinary_adaptive,553,1,0,0.0,0.0,0.047463422109941804,0.204980237881652,0.9522603652450519,results/research_platform/rl/path_conditioned_l187_terminal_diagnostic_t0_seed553/progress.csv
path_conditioned_l187_terminal_diagnostic_t0_seed553,integrated_mppi_development,full_proposed,553,1,0,0.0,0.0,0.04845475692995713,0.20639787628458814,0.947328974632368,results/research_platform/rl/path_conditioned_l187_terminal_diagnostic_t0_seed553/progress.csv
path_conditioned_l187_terminal_diagnostic_t0_seed553,integrated_mppi_development,value_fixed,553,1,0,0.0,0.0,0.05460354190565118,0.2011782198061439,0.9570129775333838,results/research_platform/rl/path_conditioned_l187_terminal_diagnostic_t0_seed553/progress.csv
path_conditioned_l187_terminal_diagnostic_t1_seed553,integrated_mppi_development,ordinary_fixed,553,1,0,0.0,0.0,0.05113335977132249,0.20748524874884655,0.9532270537818576,results/research_platform/rl/path_conditioned_l187_terminal_diagnostic_t1_seed553/progress.csv
path_conditioned_l187_terminal_diagnostic_t1_seed553,integrated_mppi_development,ordinary_adaptive,553,1,1,1.0,0.0,0.039046816864857184,0.20293660577988953,0.9580013291469351,results/research_platform/rl/path_conditioned_l187_terminal_diagnostic_t1_seed553/progress.csv
path_conditioned_l187_terminal_diagnostic_t1_seed553,integrated_mppi_development,full_proposed,553,1,1,1.0,0.0,0.03861557057903675,0.19724373095962422,0.9576524918781887,results/research_platform/rl/path_conditioned_l187_terminal_diagnostic_t1_seed553/progress.csv
path_conditioned_l187_terminal_diagnostic_t1_seed553,integrated_mppi_development,value_fixed,553,1,0,0.0,0.0,0.05054056170296342,0.20885564683750082,0.9455653223046121,results/research_platform/rl/path_conditioned_l187_terminal_diagnostic_t1_seed553/progress.csv
path_conditioned_l187_terminal_confirmation_t1_seeds554_555,integrated_mppi_development,ordinary_fixed,554,1,0,0.0,0.0,0.06073770958488781,0.20581861979713684,0.9395834652749294,results/research_platform/rl/path_conditioned_l187_terminal_confirmation_t1_seeds554_555/progress.csv
path_conditioned_l187_terminal_confirmation_t1_seeds554_555,integrated_mppi_development,ordinary_adaptive,554,1,0,0.0,0.0,0.04771181826975639,0.20206048281132338,0.9489487629878466,results/research_platform/rl/path_conditioned_l187_terminal_confirmation_t1_seeds554_555/progress.csv
