episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
0,175,high_dynamic_chicane_l56__low_friction_seen,175,-39.00215956263845,True,False,0.24613722781097133,175,uniform,disabled,configured_initial,1.0,1.0,0.0,175,0.531099396947958,0.2820665694384847,0.0016,0.2804665694384847,0.0,0.0,False,1.0,0.0,1.0,0.0
1,535,high_dynamic_accel_straight_l56__nominal_seen,360,-3521.947569104306,False,False,5.079926865495675,535,uniform,disabled,configured_initial,1.0,1.0,0.0,360,2.219298146706223,4.925284263973676,0.0016,4.923684263973676,0.0,0.0,False,1.0,0.0,1.0,0.0
2,875,high_dynamic_chicane_l56__high_mass_seen,340,-6583.38232063159,False,False,6.79035215574525,875,uniform,disabled,configured_initial,1.0,1.0,0.0,340,3.089023529392169,9.542066365138451,0.0016,9.540466365138451,0.0,0.0,False,1.0,0.0,1.0,0.0
3,1235,high_dynamic_accel_straight_l56__long_delay_seen,360,-8729.913306819664,False,False,7.811469476192844,1235,uniform,disabled,configured_initial,1.0,1.0,0.0,360,3.423408686368375,11.719727033902442,0.0016,11.718127033902443,0.0,0.0,False,1.0,0.0,1.0,0.0
4,1535,high_dynamic_sweep_l56__nominal_seen,300,-2816.366123570389,False,False,5.033943029605931,1535,uniform,disabled,configured_initial,1.0,1.0,0.0,300,2.1383391683128434,4.572494398740862,0.0016,4.570894398740863,0.0,0.0,False,1.0,0.0,1.0,0.0
5,1875,high_dynamic_chicane_l56__high_mass_seen,340,-18297.172599222606,False,False,12.272184514555873,1875,uniform,disabled,configured_initial,1.0,1.0,0.0,340,5.1605317052036765,26.63108748041237,0.0016,26.62948748041237,0.0,0.0,False,1.0,0.0,1.0,0.0
6,2175,high_dynamic_sweep_l56__nominal_seen,300,-8770.3362963582,False,False,6.561054895783274,2175,uniform,disabled,configured_initial,1.0,1.0,0.0,300,3.8133802895742583,14.541869232913456,0.0016,14.540269232913456,0.0,0.0,False,1.0,0.0,1.0,0.0
7,2515,high_dynamic_chicane_l56__low_friction_seen,340,-3793.4860882898315,False,False,5.214626720632134,2515,uniform,disabled,configured_initial,1.0,1.0,0.0,340,2.355180480554236,5.5468750959836814,0.0016,5.545275095983682,0.0,0.0,False,1.0,0.0,1.0,0.0
8,2875,high_dynamic_accel_straight_l56__nominal_seen,360,-22063.201096820005,False,False,12.22382355454489,2875,uniform,disabled,configured_initial,1.0,1.0,0.0,360,5.492580351196583,30.168438914350777,0.0016,30.166838914350777,0.0,0.0,False,1.0,0.0,1.0,0.0
9,3215,high_dynamic_chicane_l56__low_friction_seen,340,-2777.7111206611166,False,False,4.936372251616716,3215,uniform,disabled,configured_initial,1.0,1.0,0.0,340,1.9881913223015357,3.952904734075129,0.0016,3.951304734075129,0.0,0.0,False,1.0,0.0,1.0,0.0
