episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
0,360,high_dynamic_accel_straight_l56__low_friction_seen,360,-4232.12166412919,False,False,4.02688835105277,360,uniform,disabled,configured_initial,1.0,1.0,0.0,360,2.4242296321952055,5.876889309613301,0.0016,5.875289309613301,0.0,0.0,False,1.0,0.0,1.0,0.0
1,700,high_dynamic_chicane_l56__nominal_seen,340,-8374.33535848591,False,False,7.423014299538716,700,uniform,disabled,configured_initial,1.0,1.0,0.0,340,3.494546989867025,12.211858664388686,0.0016,12.210258664388686,0.0,0.0,False,1.0,0.0,1.0,0.0
2,1000,high_dynamic_sweep_l56__nominal_seen,300,-9356.22094899678,False,False,7.634989414517324,1000,uniform,disabled,configured_initial,1.0,1.0,0.0,300,3.9375272919013953,15.504121174468334,0.0016,15.502521174468335,0.0,0.0,False,1.0,0.0,1.0,0.0
3,1320,high_dynamic_accel_turn_l56__long_delay_seen,320,-3624.268599845791,False,False,3.6607668923778496,1320,uniform,disabled,configured_initial,1.0,1.0,0.0,320,2.3680461016318497,5.607642339453801,0.0016,5.6060423394538015,0.0,0.0,False,1.0,0.0,1.0,0.0
4,1680,high_dynamic_accel_straight_l56__long_delay_seen,360,-4826.2791006151865,False,False,6.203856850287966,1680,uniform,disabled,configured_initial,1.0,1.0,0.0,360,2.5926281801922832,6.721720880727149,0.0016,6.7201208807271495,0.0,0.0,False,1.0,0.0,1.0,0.0
5,2020,high_dynamic_chicane_l56__long_delay_seen,340,-8496.030861727617,False,False,6.5289622251784225,2020,uniform,disabled,configured_initial,1.0,1.0,0.0,340,3.524402320417595,12.421411716164927,0.0016,12.419811716164928,0.0,0.0,False,1.0,0.0,1.0,0.0
6,2320,high_dynamic_sweep_l56__nominal_seen,300,-11238.881290778758,False,False,8.901228970082533,2320,uniform,disabled,configured_initial,1.0,1.0,0.0,300,4.299294895426714,18.4839365978422,0.0016,18.4823365978422,0.0,0.0,False,1.0,0.0,1.0,0.0
7,2640,high_dynamic_accel_turn_l56__high_mass_seen,320,-1812.8320970544437,False,False,4.218297790578673,2640,uniform,disabled,configured_initial,1.0,1.0,0.0,320,1.6841791081001043,2.8364592681608625,0.0016,2.8348592681608626,0.0,0.0,False,1.0,0.0,1.0,0.0
8,2838,high_dynamic_accel_straight_l56__long_delay_seen,198,-93.75846817012774,True,False,0.24678605987871996,2838,uniform,disabled,configured_initial,1.0,1.0,0.0,198,0.6392957235637299,0.40869902216687287,0.0016,0.4070990221668729,0.0,0.0,False,1.0,0.0,1.0,0.0
9,3198,high_dynamic_accel_straight_l56__nominal_seen,360,-15796.611523384272,False,False,11.65850183451126,3198,uniform,disabled,configured_initial,1.0,1.0,0.0,360,4.6382250967300935,21.513132047936885,0.0016,21.511532047936885,0.0,0.0,False,1.0,0.0,1.0,0.0
10,3498,high_dynamic_sweep_l56__high_mass_seen,300,-5529.98399549601,False,False,5.560564033588288,3498,uniform,disabled,configured_initial,1.0,1.0,0.0,300,3.0152351588982396,9.091643063456093,0.0016,9.090043063456093,0.0,0.0,False,1.0,0.0,1.0,0.0
11,3798,high_dynamic_sweep_l56__low_friction_seen,300,-1582.4584876066003,False,False,4.012674727434088,3798,uniform,disabled,configured_initial,1.0,1.0,0.0,300,1.6097190296182025,2.5911953543149675,0.0016,2.5895953543149677,0.0,0.0,False,1.0,0.0,1.0,0.0
12,4138,high_dynamic_chicane_l56__low_friction_seen,340,-13499.38273760634,False,False,9.351208494425459,4138,uniform,disabled,configured_initial,1.0,1.0,0.0,340,4.436650673919506,19.68386920239041,0.0016,19.682269202390412,0.0,0.0,False,1.0,0.0,1.0,0.0
13,4438,high_dynamic_sweep_l56__nominal_seen,300,-10639.25949040108,False,False,8.610683938396313,4438,uniform,disabled,configured_initial,1.0,1.0,0.0,300,4.18777654090323,17.53747235653942,0.0016,17.53587235653942,0.0,0.0,False,1.0,0.0,1.0,0.0
14,4738,high_dynamic_sweep_l56__low_friction_seen,300,-3183.590040757032,False,False,4.933025936724267,4738,uniform,disabled,configured_initial,1.0,1.0,0.0,300,2.3003886081595355,5.291787748550164,0.0016,5.2901877485501645,0.0,0.0,False,1.0,0.0,1.0,0.0
15,4950,high_dynamic_accel_straight_l56__long_delay_seen,212,18.08827093724323,True,False,0.24514632453608123,4950,uniform,disabled,configured_initial,1.0,1.0,0.0,212,0.3828924672810527,0.146606641500572,0.0016,0.14500664150057202,0.0,0.0,False,1.0,0.0,1.0,0.0
16,5290,high_dynamic_chicane_l56__low_friction_seen,340,-137.51832472295794,False,False,1.2556005588787542,5290,uniform,disabled,configured_initial,1.0,1.0,0.0,340,0.3456493318808523,0.11947346062967958,0.0016,0.11787346062967957,0.0,0.0,False,1.0,0.0,1.0,0.0
