split,episode_id,seed,scene,physics_domain,physics_domain_role,steps,success,collision,safety_overrides
validation,validation_000_00,22845000,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,seen,109,1,0,0
validation,validation_000_01,22845037,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,seen,110,1,0,0
validation,validation_000_02,22845074,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,seen,108,1,0,0
validation,validation_001_00,22846009,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,seen,110,1,0,0
validation,validation_001_01,22846046,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,seen,109,1,0,0
validation,validation_001_02,22846083,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,seen,108,1,0,0
validation,validation_002_00,22847018,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,seen,129,1,0,0
validation,validation_002_01,22847055,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,seen,133,1,0,0
validation,validation_002_02,22847092,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,seen,133,1,0,0
validation,validation_003_00,22848027,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,seen,115,1,0,0
validation,validation_003_01,22848064,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,seen,110,1,0,0
validation,validation_003_02,22848101,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,seen,112,1,0,0
validation,validation_004_00,22849036,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,seen,139,1,0,0
validation,validation_004_01,22849073,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,seen,139,1,0,0
validation,validation_004_02,22849110,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,seen,142,1,0,0
validation,validation_005_00,22850045,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,seen,140,1,0,0
validation,validation_005_01,22850082,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,seen,143,1,0,0
validation,validation_005_02,22850119,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,seen,137,1,0,0
validation,validation_006_00,22851054,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,seen,153,1,0,0
validation,validation_006_01,22851091,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,seen,153,1,0,0
validation,validation_006_02,22851128,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,seen,154,1,0,0
validation,validation_007_00,22852063,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,seen,139,1,0,0
validation,validation_007_01,22852100,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,seen,142,1,0,0
validation,validation_007_02,22852137,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,seen,141,1,0,0
test,test_000_00,22846000,high_dynamic_sweep_l56__nominal_seen,nominal_seen,seen,109,1,0,0
test,test_000_01,22846037,high_dynamic_sweep_l56__nominal_seen,nominal_seen,seen,109,1,0,0
test,test_000_02,22846074,high_dynamic_sweep_l56__nominal_seen,nominal_seen,seen,110,1,0,0
test,test_001_00,22847009,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,seen,108,1,0,0
test,test_001_01,22847046,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,seen,106,1,0,0
test,test_001_02,22847083,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,seen,107,1,0,0
test,test_002_00,22848018,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,seen,119,1,0,0
test,test_002_01,22848055,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,seen,119,1,0,0
test,test_002_02,22848092,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,seen,118,1,0,0
test,test_003_00,22849027,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,seen,108,1,0,0
test,test_003_01,22849064,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,seen,109,1,0,0
test,test_003_02,22849101,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,seen,108,1,0,0
test,test_004_00,22850036,high_dynamic_chicane_l56__nominal_seen,nominal_seen,seen,124,1,0,0
test,test_004_01,22850073,high_dynamic_chicane_l56__nominal_seen,nominal_seen,seen,128,1,0,0
test,test_004_02,22850110,high_dynamic_chicane_l56__nominal_seen,nominal_seen,seen,124,1,0,0
test,test_005_00,22851045,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,seen,123,1,0,0
test,test_005_01,22851082,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,seen,124,1,0,0
test,test_005_02,22851119,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,seen,123,1,0,0
test,test_006_00,22852054,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,seen,135,1,0,0
test,test_006_01,22852091,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,seen,136,1,0,0
test,test_006_02,22852128,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,seen,136,1,0,0
test,test_007_00,22853063,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,seen,127,1,0,0
test,test_007_01,22853100,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,seen,126,1,0,0
test,test_007_02,22853137,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,seen,129,1,0,0
unseen,unseen_000_00,22847000,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,seen,110,1,0,0
unseen,unseen_000_01,22847037,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,seen,108,1,0,0
unseen,unseen_000_02,22847074,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,seen,110,1,0,0
unseen,unseen_001_00,22848009,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,seen,108,1,0,0
unseen,unseen_001_01,22848046,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,seen,106,1,0,0
unseen,unseen_001_02,22848083,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,seen,106,1,0,0
unseen,unseen_002_00,22849018,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,seen,122,1,0,0
unseen,unseen_002_01,22849055,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,seen,120,1,0,0
unseen,unseen_002_02,22849092,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,seen,121,1,0,0
unseen,unseen_003_00,22850027,high_dynamic_reverse_s_unseen_l56__long_delay_seen,long_delay_seen,seen,111,1,0,0
unseen,unseen_003_01,22850064,high_dynamic_reverse_s_unseen_l56__long_delay_seen,long_delay_seen,seen,109,1,0,0
unseen,unseen_003_02,22850101,high_dynamic_reverse_s_unseen_l56__long_delay_seen,long_delay_seen,seen,111,1,0,0
unseen,unseen_004_00,22851036,high_dynamic_reverse_s_unseen_l56__combined_unseen,combined_unseen,unseen,112,1,0,0
unseen,unseen_004_01,22851073,high_dynamic_reverse_s_unseen_l56__combined_unseen,combined_unseen,unseen,113,1,0,0
unseen,unseen_004_02,22851110,high_dynamic_reverse_s_unseen_l56__combined_unseen,combined_unseen,unseen,114,1,0,0
unseen,unseen_005_00,22852045,high_dynamic_hairpin_unseen_l56__nominal_seen,nominal_seen,seen,180,0,0,0
unseen,unseen_005_01,22852082,high_dynamic_hairpin_unseen_l56__nominal_seen,nominal_seen,seen,180,0,0,0
unseen,unseen_005_02,22852119,high_dynamic_hairpin_unseen_l56__nominal_seen,nominal_seen,seen,180,0,0,0
unseen,unseen_006_00,22853054,high_dynamic_hairpin_unseen_l56__high_mass_seen,high_mass_seen,seen,180,0,0,0
unseen,unseen_006_01,22853091,high_dynamic_hairpin_unseen_l56__high_mass_seen,high_mass_seen,seen,180,0,0,0
unseen,unseen_006_02,22853128,high_dynamic_hairpin_unseen_l56__high_mass_seen,high_mass_seen,seen,180,0,0,0
unseen,unseen_007_00,22854063,high_dynamic_hairpin_unseen_l56__low_friction_seen,low_friction_seen,seen,180,0,0,0
unseen,unseen_007_01,22854100,high_dynamic_hairpin_unseen_l56__low_friction_seen,low_friction_seen,seen,180,0,0,0
unseen,unseen_007_02,22854137,high_dynamic_hairpin_unseen_l56__low_friction_seen,low_friction_seen,seen,180,0,0,0
unseen,unseen_008_00,22855072,high_dynamic_hairpin_unseen_l56__long_delay_seen,long_delay_seen,seen,180,0,0,0
unseen,unseen_008_01,22855109,high_dynamic_hairpin_unseen_l56__long_delay_seen,long_delay_seen,seen,180,0,0,0
unseen,unseen_008_02,22855146,high_dynamic_hairpin_unseen_l56__long_delay_seen,long_delay_seen,seen,180,0,0,0
unseen,unseen_009_00,22856081,high_dynamic_hairpin_unseen_l56__combined_unseen,combined_unseen,unseen,180,0,0,0
unseen,unseen_009_01,22856118,high_dynamic_hairpin_unseen_l56__combined_unseen,combined_unseen,unseen,180,0,0,0
unseen,unseen_009_02,22856155,high_dynamic_hairpin_unseen_l56__combined_unseen,combined_unseen,unseen,180,0,0,0
