split,episode_id,seed,scene,physics_domain,physics_domain_role,steps,success,collision,safety_overrides
validation,validation_000_00,22842000,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,seen,109,1,0,0
validation,validation_000_01,22842037,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,seen,111,1,0,0
validation,validation_001_00,22843009,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,seen,109,1,0,0
validation,validation_001_01,22843046,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,seen,110,1,0,0
validation,validation_002_00,22844018,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,seen,130,1,0,0
validation,validation_002_01,22844055,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,seen,128,1,0,0
validation,validation_003_00,22845027,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,seen,109,1,0,0
validation,validation_003_01,22845064,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,seen,113,1,0,0
validation,validation_004_00,22846036,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,seen,141,1,0,0
validation,validation_004_01,22846073,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,seen,140,1,0,0
validation,validation_005_00,22847045,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,seen,138,1,0,0
validation,validation_005_01,22847082,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,seen,140,1,0,0
validation,validation_006_00,22848054,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,seen,152,1,0,0
validation,validation_006_01,22848091,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,seen,152,1,0,0
validation,validation_007_00,22849063,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,seen,140,1,0,0
validation,validation_007_01,22849100,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,seen,138,1,0,0
test,test_000_00,22843000,high_dynamic_sweep_l56__nominal_seen,nominal_seen,seen,108,1,0,0
test,test_000_01,22843037,high_dynamic_sweep_l56__nominal_seen,nominal_seen,seen,108,1,0,0
test,test_001_00,22844009,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,seen,107,1,0,0
test,test_001_01,22844046,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,seen,107,1,0,0
test,test_002_00,22845018,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,seen,118,1,0,0
test,test_002_01,22845055,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,seen,118,1,0,0
test,test_003_00,22846027,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,seen,109,1,0,0
test,test_003_01,22846064,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,seen,111,1,0,0
test,test_004_00,22847036,high_dynamic_chicane_l56__nominal_seen,nominal_seen,seen,128,1,0,0
test,test_004_01,22847073,high_dynamic_chicane_l56__nominal_seen,nominal_seen,seen,129,1,0,0
test,test_005_00,22848045,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,seen,122,1,0,0
test,test_005_01,22848082,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,seen,126,1,0,0
test,test_006_00,22849054,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,seen,136,1,0,0
test,test_006_01,22849091,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,seen,138,1,0,0
test,test_007_00,22850063,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,seen,126,1,0,0
test,test_007_01,22850100,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,seen,125,1,0,0
unseen,unseen_000_00,22844000,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,seen,109,1,0,0
unseen,unseen_000_01,22844037,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,seen,110,1,0,0
unseen,unseen_001_00,22845009,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,seen,109,1,0,0
unseen,unseen_001_01,22845046,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,seen,105,1,0,0
unseen,unseen_002_00,22846018,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,seen,121,1,0,0
unseen,unseen_002_01,22846055,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,seen,120,1,0,0
unseen,unseen_003_00,22847027,high_dynamic_reverse_s_unseen_l56__long_delay_seen,long_delay_seen,seen,109,1,0,0
