split,episode_id,seed,scene,physics_domain,physics_domain_role,steps,success,collision,safety_overrides
validation,validation_000_00,22839000,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,seen,110,1,0,0
validation,validation_000_01,22839037,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,seen,108,1,0,0
validation,validation_001_00,22840009,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,seen,112,1,0,0
validation,validation_001_01,22840046,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,seen,109,1,0,0
validation,validation_002_00,22841018,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,seen,129,1,0,0
validation,validation_002_01,22841055,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,seen,132,1,0,0
validation,validation_003_00,22842027,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,seen,114,1,0,0
validation,validation_003_01,22842064,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,seen,112,1,0,0
validation,validation_004_00,22843036,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,seen,138,1,0,0
validation,validation_004_01,22843073,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,seen,145,1,0,0
validation,validation_005_00,22844045,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,seen,137,1,0,0
validation,validation_005_01,22844082,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,seen,139,1,0,0
validation,validation_006_00,22845054,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,seen,152,1,0,0
validation,validation_006_01,22845091,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,seen,148,1,0,0
validation,validation_007_00,22846063,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,seen,142,1,0,0
validation,validation_007_01,22846100,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,seen,142,1,0,0
test,test_000_00,22840000,high_dynamic_sweep_l56__nominal_seen,nominal_seen,seen,110,1,0,0
test,test_000_01,22840037,high_dynamic_sweep_l56__nominal_seen,nominal_seen,seen,108,1,0,0
test,test_001_00,22841009,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,seen,108,1,0,0
test,test_001_01,22841046,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,seen,108,1,0,0
test,test_002_00,22842018,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,seen,117,1,0,0
test,test_002_01,22842055,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,seen,118,1,0,0
test,test_003_00,22843027,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,seen,110,1,0,0
test,test_003_01,22843064,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,seen,111,1,0,0
test,test_004_00,22844036,high_dynamic_chicane_l56__nominal_seen,nominal_seen,seen,129,1,0,0
test,test_004_01,22844073,high_dynamic_chicane_l56__nominal_seen,nominal_seen,seen,126,1,0,0
test,test_005_00,22845045,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,seen,127,1,0,0
test,test_005_01,22845082,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,seen,123,1,0,0
test,test_006_00,22846054,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,seen,138,1,0,0
