episode_id,split,seed,scene,physics_domain,authority,level,rollout_error,terminal_error,windows
validation_000_00,validation,22845000,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,0.829574862779657,high,0.16798507074899788,0.19269971302651936,100
validation_000_01,validation,22845037,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,0.897477400223002,high,0.16319431304007428,0.18846972350628466,101
validation_000_02,validation,22845074,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,0.91017839052916,high,0.16266655555089904,0.1827947649215333,99
validation_001_00,validation,22846009,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,0.9057909161029155,high,0.1564482200487561,0.17450406781991482,101
validation_001_01,validation,22846046,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,0.9218595581921175,high,0.1493104488607982,0.17002848056194197,100
validation_001_02,validation,22846083,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,0.9189619682245405,high,0.146777538550491,0.16678283906527727,99
validation_002_00,validation,22847018,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,0.11839015479614808,low,0.3555128937144675,0.43876070604664413,120
validation_002_01,validation,22847055,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,0.1367172039200549,low,0.32475462213694634,0.3987257918537765,124
validation_002_02,validation,22847092,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,0.17337719478843888,low,0.3034494880158879,0.3623385374068599,124
validation_003_00,validation,22848027,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,0.6103343879104897,medium,0.18209911039659835,0.20689696936943236,106
validation_003_01,validation,22848064,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,0.8230514043919286,high,0.16225492369491404,0.18829343405366786,101
validation_003_02,validation,22848101,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,0.8839779570893445,high,0.15914411712634657,0.18609673863459478,103
validation_004_00,validation,22849036,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,0.9889727364533332,high,0.1211141545381866,0.1362767151709972,130
validation_004_01,validation,22849073,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,0.9845922906289518,high,0.13166467809799667,0.1544544181873848,130
validation_004_02,validation,22849110,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,0.9713430018696563,high,0.13288925395678655,0.15261359513593595,133
validation_005_00,validation,22850045,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,0.9533635298498834,high,0.11655781735195721,0.13111426882278124,131
validation_005_01,validation,22850082,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,0.9756751393768676,high,0.11416800129115788,0.12942659280168736,134
validation_005_02,validation,22850119,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,0.9940498902166556,high,0.11381354563421156,0.12609886901778733,128
validation_006_00,validation,22851054,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,0.628983840116881,medium,0.2146780582965048,0.2515585872369977,144
validation_006_01,validation,22851091,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,0.6020478317328575,medium,0.2159487835521713,0.257512149652485,144
validation_006_02,validation,22851128,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,0.7165859368095033,high,0.19371037386730175,0.2339656076429718,145
validation_007_00,validation,22852063,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,0.9451033936233001,high,0.14730910688170384,0.16532628491282408,130
validation_007_01,validation,22852100,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,0.8335171602878736,high,0.15498839228254804,0.17133201924643343,133
validation_007_02,validation,22852137,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,0.8662574290183098,high,0.15473998996098248,0.16961549229988954,132
test_000_00,test,22846000,high_dynamic_sweep_l56__nominal_seen,nominal_seen,0.9132168006669314,high,0.16366163472888823,0.2041857933844261,100
test_000_01,test,22846037,high_dynamic_sweep_l56__nominal_seen,nominal_seen,0.9399828663397869,high,0.16029826067529676,0.20370913056421144,100
test_000_02,test,22846074,high_dynamic_sweep_l56__nominal_seen,nominal_seen,0.9366103324936629,high,0.16404383009867401,0.20867565159910817,101
test_001_00,test,22847009,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,0.9206594002640018,high,0.15475961047629033,0.18923364723456515,99
test_001_01,test,22847046,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,0.9057254130920944,high,0.1682750322098042,0.20960019801254237,97
test_001_02,test,22847083,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,0.9563707828303948,high,0.1511196697213856,0.18254750322458552,98
test_002_00,test,22848018,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,0.696958105785239,high,0.24554637759262612,0.3209415541234229,110
test_002_01,test,22848055,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,0.7262378226031009,high,0.23576534708345812,0.30648066394728074,110
test_002_02,test,22848092,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,0.6313183632696839,medium,0.23875456737656658,0.31712710390325805,109
test_003_00,test,22849027,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,0.8093967050586055,high,0.18889792302847067,0.23557014689513767,99
test_003_01,test,22849064,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,0.8588367931721277,high,0.18858703575536803,0.23638414906994512,100
test_003_02,test,22849101,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,0.8058577770275561,high,0.18874070744911656,0.23660948269152912,99
test_004_00,test,22850036,high_dynamic_chicane_l56__nominal_seen,nominal_seen,1.0,high,0.1152533756784754,0.1368106063971019,115
test_004_01,test,22850073,high_dynamic_chicane_l56__nominal_seen,nominal_seen,1.0,high,0.11429533817897308,0.13475747615596018,119
test_004_02,test,22850110,high_dynamic_chicane_l56__nominal_seen,nominal_seen,0.9865405850924204,high,0.11273828247534935,0.13150445580327305,115
test_005_00,test,22851045,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,0.9951729719590154,high,0.10642827290693314,0.1225850392381164,114
test_005_01,test,22851082,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,1.0,high,0.09789901795490796,0.11515987589533308,115
test_005_02,test,22851119,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,0.9971061589266569,high,0.11067759372850772,0.1320956639955224,114
test_006_00,test,22852054,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,0.984276855711075,high,0.16288174300434072,0.19499678791627142,126
test_006_01,test,22852091,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,0.9960324889702283,high,0.14940106158060482,0.18322103137007137,127
test_006_02,test,22852128,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,0.9717215591934981,high,0.16204547994121454,0.18726353529083858,127
test_007_00,test,22853063,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,0.9879657986758658,high,0.1366234598532062,0.1551357481022027,118
test_007_01,test,22853100,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,0.9849597574128179,high,0.1386758100331254,0.15823298834586108,117
test_007_02,test,22853137,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,0.9664264375744175,high,0.13581008939368644,0.15189361244907892,120
unseen_000_00,unseen,22847000,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,0.90646434050048,high,0.16662025840123365,0.20363636603412327,101
unseen_000_01,unseen,22847037,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,0.968561541697592,high,0.15480487311414284,0.18977825261940173,99
unseen_000_02,unseen,22847074,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,0.9187903406603812,high,0.15702299069717987,0.19169968413669525,101
unseen_001_00,unseen,22848009,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,0.842415603354568,high,0.16246322064539956,0.1944793717180907,99
unseen_001_01,unseen,22848046,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,0.985823862435402,high,0.14524138993198477,0.17456003478011145,97
unseen_001_02,unseen,22848083,high_dynamic_reverse_s_unseen_l56__high_mass_seen,high_mass_seen,0.9253696212566513,high,0.1557770494024337,0.19005026398160949,97
unseen_002_00,unseen,22849018,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,0.5298109742318873,medium,0.2592855746852255,0.3248359197910858,113
unseen_002_01,unseen,22849055,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,0.5179906450912861,medium,0.2543847833318938,0.33027941029705865,111
unseen_002_02,unseen,22849092,high_dynamic_reverse_s_unseen_l56__low_friction_seen,low_friction_seen,0.5106744403634875,medium,0.25817760298568204,0.32111749361150216,112
unseen_003_00,unseen,22850027,high_dynamic_reverse_s_unseen_l56__long_delay_seen,long_delay_seen,0.8430856704724076,high,0.18313361313330495,0.21847076175834237,102
unseen_003_01,unseen,22850064,high_dynamic_reverse_s_unseen_l56__long_delay_seen,long_delay_seen,0.8205920015144105,high,0.17569902213190428,0.2094748171113783,100
unseen_003_02,unseen,22850101,high_dynamic_reverse_s_unseen_l56__long_delay_seen,long_delay_seen,0.8504555716478027,high,0.1841543330092067,0.22021069434049356,102
unseen_004_00,unseen,22851036,high_dynamic_reverse_s_unseen_l56__combined_unseen,combined_unseen,0.6036429623413728,medium,0.20223210573576939,0.24143099215197877,103
unseen_004_01,unseen,22851073,high_dynamic_reverse_s_unseen_l56__combined_unseen,combined_unseen,0.49783286470520427,medium,0.20523623917367168,0.24465575755411495,104
unseen_004_02,unseen,22851110,high_dynamic_reverse_s_unseen_l56__combined_unseen,combined_unseen,0.4434409874164414,medium,0.21544570714365158,0.25556446741945266,105
unseen_005_00,unseen,22852045,high_dynamic_hairpin_unseen_l56__nominal_seen,nominal_seen,1.0,high,0.09621553644432276,0.12031192584698111,171
unseen_005_01,unseen,22852082,high_dynamic_hairpin_unseen_l56__nominal_seen,nominal_seen,0.9979569057120865,high,0.09988215553418543,0.1233703941125058,171
unseen_005_02,unseen,22852119,high_dynamic_hairpin_unseen_l56__nominal_seen,nominal_seen,1.0,high,0.09738128894103966,0.11843129514969389,171
unseen_006_00,unseen,22853054,high_dynamic_hairpin_unseen_l56__high_mass_seen,high_mass_seen,1.0,high,0.09756502113066659,0.12058405313912554,171
unseen_006_01,unseen,22853091,high_dynamic_hairpin_unseen_l56__high_mass_seen,high_mass_seen,1.0,high,0.09564751490975705,0.12002065512847464,171
unseen_006_02,unseen,22853128,high_dynamic_hairpin_unseen_l56__high_mass_seen,high_mass_seen,1.0,high,0.09550243427051162,0.11768779804438785,171
unseen_007_00,unseen,22854063,high_dynamic_hairpin_unseen_l56__low_friction_seen,low_friction_seen,0.964804243923923,high,0.11788014734745494,0.13855292981540002,171
unseen_007_01,unseen,22854100,high_dynamic_hairpin_unseen_l56__low_friction_seen,low_friction_seen,0.968461909943062,high,0.10902965988014708,0.12688416174394188,171
unseen_007_02,unseen,22854137,high_dynamic_hairpin_unseen_l56__low_friction_seen,low_friction_seen,0.8593802791154284,high,0.12153292608438344,0.1401775865562579,171
unseen_008_00,unseen,22855072,high_dynamic_hairpin_unseen_l56__long_delay_seen,long_delay_seen,0.9820021930389524,high,0.14016509200336322,0.15777349272114957,171
unseen_008_01,unseen,22855109,high_dynamic_hairpin_unseen_l56__long_delay_seen,long_delay_seen,0.9925325680916358,high,0.13172879065795554,0.14977915074829082,171
unseen_008_02,unseen,22855146,high_dynamic_hairpin_unseen_l56__long_delay_seen,long_delay_seen,0.9677397910515746,high,0.1442013428978057,0.16433957269958643,171
unseen_009_00,unseen,22856081,high_dynamic_hairpin_unseen_l56__combined_unseen,combined_unseen,0.817456422898238,high,0.14588289823167383,0.16030335427933123,171
unseen_009_01,unseen,22856118,high_dynamic_hairpin_unseen_l56__combined_unseen,combined_unseen,0.9138743959237402,high,0.14186506963449408,0.15934891105607626,171
unseen_009_02,unseen,22856155,high_dynamic_hairpin_unseen_l56__combined_unseen,combined_unseen,0.7737056567120302,high,0.15290882467913355,0.16864588374215064,171
