episode_id,split,seed,scene,physics_domain,authority,level,rollout_error,terminal_error,windows
validation_000_00,validation,22842000,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,0.6629433870608062,medium,0.1636446709304623,0.18957902411234379,100
validation_000_01,validation,22842037,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,0.36548257924050354,medium,0.168801306983777,0.19067263365389525,102
validation_001_00,validation,22843009,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,0.6881425386450829,high,0.15196819105865653,0.16882584864851538,100
validation_001_01,validation,22843046,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,0.5812273393869595,medium,0.15405769552977255,0.17004115836462433,101
validation_002_00,validation,22844018,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,0.08637284579332717,low,0.33092316229149,0.39575789197536676,121
validation_002_01,validation,22844055,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,0.12127431432172431,low,0.31829394294905206,0.3933435118266998,119
validation_003_00,validation,22845027,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,0.12975747066155835,low,0.17925090744734692,0.20480824025600566,100
validation_003_01,validation,22845064,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,0.12436643779940339,low,0.18095216269082734,0.20529514230896612,104
validation_004_00,validation,22846036,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,0.9679480525865782,high,0.12212882257877289,0.13956992172398128,132
validation_004_01,validation,22846073,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,0.9435277489827983,high,0.13915441030769682,0.1618289088131664,131
validation_005_00,validation,22847045,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,0.8936402072297294,high,0.12500583547694558,0.14359905599300937,129
validation_005_01,validation,22847082,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,0.9629309789904267,high,0.12325539983411653,0.1422846596588127,131
validation_006_00,validation,22848054,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,0.5604333906895633,medium,0.2015349774160517,0.24415655093587213,143
validation_006_01,validation,22848091,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,0.5293304090650165,medium,0.2061450504401622,0.24446897981755586,143
validation_007_00,validation,22849063,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,0.6842377749271863,high,0.1508690351274627,0.16851139095806353,131
validation_007_01,validation,22849100,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,0.7016566649316295,high,0.15147136999251948,0.17176718734995589,129
test_000_00,test,22843000,high_dynamic_sweep_l56__nominal_seen,nominal_seen,0.757381072209966,high,0.16661347509478022,0.20826160244912492,99
