experiment,evidence_stage,split,gate_passed,episode_count,rank_correlation,rank_ci_low,rank_ci_high,tail_error_separation,source
path_aware_ordinary_reliability_l190,offline_reliability_calibration,test,False,16,-0.8588235294117647,,,,results/research_platform/rl/path_aware_ordinary_reliability_l190/calibration_summary.json
path_aware_ordinary_reliability_l190,offline_reliability_calibration,unseen,False,20,-0.021052631578947364,,,,results/research_platform/rl/path_aware_ordinary_reliability_l190/calibration_summary.json
path_aware_ordinary_reliability_l190,offline_reliability_calibration,validation,True,16,-0.8911764705882352,,,,results/research_platform/rl/path_aware_ordinary_reliability_l190/calibration_summary.json
path_aware_value_reliability_l190,offline_reliability_calibration,test,True,16,-0.9176470588235294,,,,results/research_platform/rl/path_aware_value_reliability_l190/calibration_summary.json
path_aware_value_reliability_l190,offline_reliability_calibration,unseen,False,20,0.024060150375939848,,,,results/research_platform/rl/path_aware_value_reliability_l190/calibration_summary.json
path_aware_value_reliability_l190,offline_reliability_calibration,validation,True,16,-0.8941176470588235,,,,results/research_platform/rl/path_aware_value_reliability_l190/calibration_summary.json
path_aware_ordinary_reliability_innovation_l191,offline_reliability_calibration,test,False,16,-0.9411764705882352,,,,results/research_platform/rl/path_aware_ordinary_reliability_innovation_l191/calibration_summary.json
path_aware_ordinary_reliability_innovation_l191,offline_reliability_calibration,unseen,True,20,-0.8436090225563909,,,,results/research_platform/rl/path_aware_ordinary_reliability_innovation_l191/calibration_summary.json
path_aware_ordinary_reliability_innovation_l191,offline_reliability_calibration,validation,True,16,-0.9411764705882352,,,,results/research_platform/rl/path_aware_ordinary_reliability_innovation_l191/calibration_summary.json
path_aware_value_reliability_innovation_l191,offline_reliability_calibration,test,False,16,-0.9352941176470588,,,,results/research_platform/rl/path_aware_value_reliability_innovation_l191/calibration_summary.json
path_aware_value_reliability_innovation_l191,offline_reliability_calibration,unseen,True,20,-0.8511278195488721,,,,results/research_platform/rl/path_aware_value_reliability_innovation_l191/calibration_summary.json
path_aware_value_reliability_innovation_l191,offline_reliability_calibration,validation,True,16,-0.95,,,,results/research_platform/rl/path_aware_value_reliability_innovation_l191/calibration_summary.json
path_aware_ordinary_reliability_continuous_l192,offline_reliability_calibration,test,True,24,-0.9242823343879112,-0.9718560700513208,-0.7812368534904548,0.46049988452596885,results/research_platform/rl/path_aware_ordinary_reliability_continuous_l192/calibration_summary.json
