confirmatory_holm_family,effect,effect_scale,endpoint,holm_adjusted_p_three_contrasts,mean_favorable_effect,median_favorable_effect,n,split,whole_seed_bootstrap_mean_95ci,wilcoxon_two_sided_p
True,learning_main,positive_is_favorable,safe_success,5.2945409841195065e-14,0.12916666666666668,0.0,360,pooled,"[0.09861111111111111, 0.1597222222222222]",1.7648469947065023e-14
True,probability_main,positive_is_favorable,safe_success,4.5241654250016273e-10,-0.12361111111111112,0.0,360,pooled,"[-0.16111111111111112, -0.0875]",2.2620827125008136e-10
True,learning_by_probability_interaction,positive_is_favorable,safe_success,1.5290932336974893e-07,0.15833333333333333,0.0,360,pooled,"[0.1, 0.21666666666666667]",1.5290932336974893e-07
False,learning_main,positive_is_favorable,collision_free,0.6033197087407444,0.0125,0.0,360,pooled,"[-0.015277777777777777, 0.04027777777777778]",0.6033197087407444
False,probability_main,positive_is_favorable,collision_free,0.001235447089918775,0.06527777777777778,0.0,360,pooled,"[0.03194444444444444, 0.1]",0.0004118156966395917
False,learning_by_probability_interaction,positive_is_favorable,collision_free,0.0099962956163728,-0.08611111111111111,0.0,360,pooled,"[-0.14166666666666666, -0.03333333333333333]",0.0049981478081864
False,learning_main,positive_is_favorable,failure_penalized_steps,1.519946638314078e-39,19.865277777777777,25.75,360,pooled,"[17.698611111111113, 21.990277777777777]",1.519946638314078e-39
False,probability_main,positive_is_favorable,failure_penalized_steps,1.8791407486821305e-53,-36.42638888888889,-40.5,360,pooled,"[-39.140277777777776, -33.71111111111111]",6.263802495607101e-54
False,learning_by_probability_interaction,positive_is_favorable,failure_penalized_steps,1.2523164458133723e-45,52.24166666666667,67.5,360,pooled,"[47.44722222222222, 56.975]",6.2615822290668615e-46
False,learning_main,positive_is_favorable,final_goal_distance,5.0604167122790784e-05,0.10114192057593575,0.0028945520326153357,360,pooled,"[-0.017028033224500506, 0.2207991640151901]",5.0604167122790784e-05
False,probability_main,positive_is_favorable,final_goal_distance,1.1402222602302775e-06,-0.015692274517543073,-0.004972160244237286,360,pooled,"[-0.15449587653795985, 0.12197272315132182]",3.800740867434258e-07
False,learning_by_probability_interaction,positive_is_favorable,final_goal_distance,1.1402222602302775e-06,0.010584658568347519,0.01007947873971235,360,pooled,"[-0.2062825294060341, 0.2284797688914837]",4.182536326220558e-07
False,learning_main,positive_is_favorable,path_progress_m_max,0.009835366228953498,0.0816225302865167,-0.02210629401176689,360,pooled,"[-0.03004982172917575, 0.1943168503100002]",0.00892276041302262
False,probability_main,positive_is_favorable,path_progress_m_max,0.009835366228953498,0.051429178908512896,0.02114263680924111,360,pooled,"[-0.08172078678157282, 0.1845338328332669]",0.004917683114476749
False,learning_by_probability_interaction,positive_is_favorable,path_progress_m_max,0.0002383703777722215,-0.06847286505918806,-0.04216585877150081,360,pooled,"[-0.27002611393780546, 0.13275776061812472]",7.94567925907405e-05
False,learning_main,positive_is_favorable,minimum_clearance,0.741801469255531,-0.00020948641397838808,0.00018009738038438083,360,pooled,"[-0.010187950711785746, 0.009785511282933718]",0.741801469255531
False,probability_main,positive_is_favorable,minimum_clearance,2.123414662894226e-24,0.05677556333842482,0.03438654022131318,360,pooled,"[0.04365832762365468, 0.0699295185577919]",7.078048876314087e-25
False,learning_by_probability_interaction,positive_is_favorable,minimum_clearance,8.249957316840998e-15,-0.04415416724339382,-0.016883582705089772,360,pooled,"[-0.06335278969746815, -0.02488007974932603]",4.124978658420499e-15
False,learning_main,positive_is_favorable,conflict_q05_clearance,0.8002310166668158,-0.016785564077205536,0.0009477284231122346,360,pooled,"[-0.029171353394776747, -0.004571921900755527]",0.8002310166668158
