confirmatory_holm_family,contrast,control_events,control_mean,control_median,control_rate,effect_scale,endpoint,exact_mcnemar_two_sided_p,higher_is_better,holm_adjusted_p_three_contrasts,mean_favorable_effect,mean_treatment_minus_control,median_treatment_minus_control,n,paired_t_two_sided_95ci,paired_table,split,tango_one_sided_95ci_lower,tango_one_sided_95ci_upper,tango_two_sided_95ci,treatment_events,treatment_mean,treatment_median,treatment_minus_control,treatment_rate,whole_seed_bootstrap_mean_95ci,wilcoxon_two_sided_p
True,B11_full_proposed_minus_A_full_ordinary_imm,110,,,0.7857142857142857,positive_is_favorable,safe_success,0.125,,0.328125,0.0357142857142857,,,140,,"{'n11': 109, 'n10': 6, 'n01': 1, 'n00': 24}",pooled,0.005762504265930479,0.07463320607757104,"[-0.0017791716377358211, 0.08430899908170497]",115,,,0.0357142857142857,0.8214285714285714,,
True,B11_full_proposed_minus_A_no_icode,109,,,0.7785714285714286,positive_is_favorable,safe_success,0.109375,,0.328125,0.042857142857142816,,,140,,"{'n11': 107, 'n10': 8, 'n01': 2, 'n00': 23}",pooled,0.006573620659309451,0.08642911594824043,"[-0.0017155788177659007, 0.09670753887120495]",115,,,0.042857142857142816,0.8214285714285714,,
True,B11_full_proposed_minus_A_fixed_hss,108,,,0.7714285714285715,positive_is_favorable,safe_success,0.11846923828125,,0.328125,0.04999999999999993,,,140,,"{'n11': 104, 'n10': 11, 'n01': 4, 'n00': 21}",pooled,0.00490256958119013,0.10017608197585012,"[-0.00474891687781517, 0.1113359293626561]",115,,,0.04999999999999993,0.8214285714285714,,
False,B11_full_proposed_minus_A_full_ordinary_imm,23,,,0.16428571428571428,positive_is_favorable,collision,0.453125,,0.90625,0.021428571428571436,,,140,,"{'n11': 18, 'n10': 2, 'n01': 5, 'n00': 115}",pooled,-0.05933962579228454,0.011542009273852027,"[-0.06877142901111477, 0.019805747281223217]",20,,,-0.021428571428571436,0.14285714285714285,,
False,B11_full_proposed_minus_A_no_icode,22,,,0.15714285714285714,positive_is_favorable,collision,0.7744140625,,0.90625,0.01428571428571429,,,140,,"{'n11': 15, 'n10': 5, 'n01': 7, 'n00': 113}",pooled,-0.05930914264217198,0.02891052989479869,"[-0.0695707253030308, 0.03866394655733142]",20,,,-0.01428571428571429,0.14285714285714285,,
False,B11_full_proposed_minus_A_fixed_hss,25,,,0.17857142857142858,positive_is_favorable,collision,0.266845703125,,0.800537109375,0.035714285714285726,,,140,,"{'n11': 16, 'n10': 4, 'n01': 9, 'n00': 111}",pooled,-0.08300566837305348,0.007306798011540374,"[-0.09371133407556925, 0.01678978500467397]",20,,,-0.035714285714285726,0.14285714285714285,,
False,B11_full_proposed_minus_A_full_ordinary_imm,,340.54285714285714,322.5,,positive_is_favorable,failure_penalized_steps,,False,0.3982189101515321,0.9214285714285714,-0.9214285714285714,0.0,140,"[-2.041767735558444, 0.19891059270130118]",,pooled,,,,,339.62142857142857,323.0,,,"[-2.0714285714285716, 0.15]",0.21403693501903776
False,B11_full_proposed_minus_A_no_icode,,341.75,323.5,,positive_is_favorable,failure_penalized_steps,,False,0.0014248817848810653,2.1285714285714286,-2.1285714285714286,0.0,140,"[-3.552959147978883, -0.7041837091639744]",,pooled,,,,,339.62142857142857,323.0,,,"[-3.6, -0.7928571428571428]",0.0004749605949603551
False,B11_full_proposed_minus_A_fixed_hss,,342.48571428571427,330.5,,positive_is_favorable,failure_penalized_steps,,False,0.3982189101515321,2.8642857142857143,-2.8642857142857143,0.0,140,"[-6.082754974655192, 0.35418354608376346]",,pooled,,,,,339.62142857142857,323.0,,,"[-6.15, 0.21428571428571427]",0.19910945507576605
False,B11_full_proposed_minus_A_full_ordinary_imm,,0.925679580374547,0.2931713645875611,,positive_is_favorable,final_goal_distance,,False,0.7900315099306501,0.03763026795959161,-0.03763026795959161,0.0,140,"[-0.17712671502576832, 0.10186617910658509]",,pooled,,,,,0.8880493124149554,0.2926015607113016,,,"[-0.17989254977850253, 0.09625480099064583]",0.7900315099306501
